case_id,title,category,risk_level,setting,date,location,injury_category,severity,primary_classification,what_happened,what_could_have_happened,why_did_it_happen,causal_factors,what_went_well,lessons_to_prevent
CASE-001,Minor Vapor Release During Instrument Tubing Replacement,Safety,Medium,Chemical processing unit – general operations area,2019,Canada,No Injury,Potentially Significant,Health and Safety,"Technicians were replacing a short run of small-bore signal tubing on a pressure transmitter as part of routine reliability maintenance. The line was believed to be fully isolated and depressurized based on the work permit and verbal handover. When the technician loosened the final fitting, a brief release of light hydrocarbon vapor occurred from residual pressure trapped in the impulse line. The release dissipated quickly due to strong ventilation in the open-air structure. The worker stepped back, closed the fitting, and notified operations. The area was secured, and the unit controller confirmed no alarms, no ignition sources nearby, and no personnel exposure symptoms. Work was suspended, and the isolation plan was re-verified before resuming.","Vapor cloud accumulation in a low-ventilation zone, leading to potential ignition. Worker exposure causing respiratory irritation or dizziness. Escalation to a larger release if the impulse line had a higher pressure pocket. Activation of gas detection systems, forcing an unplanned process shutdown.",Isolation plan assumed the transmitter ’s secondary block valve fully eliminated trapped volume but did not specify venting requirements. Incomplete integration of small-bore tubing tasks into the site’s standard isolation design philosophy. Insuf ficient detail in maintenance planning for assessing pressure-retaining components with dead legs.,Time pressure to finish tasks before a scheduled operations meeting. Verbal shift handover lacked clarity on the status of upstream valves. Congested workspace made it difficult for workers to visually confirm valve orientation. Limited recent refresher training on identifying hidden pressure traps. Worker relied on past experience rather than a structured vent-verification step.,"Technician immediately stopped work and re-secured the fitting. Natural ventilation dispersed the vapor quickly. Operations responded promptly and established a safe perimeter. Gas monitors remained in normal range, confirming no escalation. Team conducted an on-the-spot learning review before restarting work.",Treat all small-bore tubing as pressure-retaining until positively vented. Ensure isolation diagrams specify venting steps for trapped volumes. Strengthen shift-handover expectations when isolations span crews. Improve field labeling and visibility of local block valves. Reinforce use of structured pause points before loosening any fittings.
CASE-002,Unexpected Pressure Release During Sampling Line Replacement,Safety,Medium,Utilities area – process sampling station,2021,USA,No Injury,Potentially Significant,Health and Safety,"A maintenance crew was assigned to replace a short segment of a stainless-steel sampling line that had shown signs of external corrosion. The job was scheduled during normal operations, with an isolation permit stating the line had been depressurized and drained. When the technician loosened the second compression fitting, a brief jet of warm water and vapor escaped from a pocket of residual pressure not identified in the job plan. The technician stepped back immediately, and the team activated stop-work. Operations secured the area and verified that the upstream isolation valve had not fully seated. The release stopped in under five seconds, and no one was exposed or injured. Work resumed only after a revised isolation and venting plan was put in place.",Accumulation of warm vapor leading to thermal exposure. Potential escalation to a larger leak if the fitting fully detached. Slip hazard forming on grating from pooled condensate. Potential activation of nearby analyzers or alarms causing process disruption.,"Isolation plan did not consider trapped fluid in a low-point section created by previous plant modifications. Engineering documentation was outdated, missing the as-built routing of the sampling line. Venting requirements for small-volume piping were insuf ficiently defined.",Crews relied on verbal confirmation rather than physically verifying valve position. Condensate generation in adjacent equipment increased line temperature and pressure unexpectedly. Time pressure to complete the task before an inspection window narrowed hazard recognition. Work area congestion limited access to the vent plug location.,"Technician backed away immediately, demonstrating effective situational awareness. Area ventilation rapidly dispersed vapor. Operations responded promptly and validated full system isolation before re-starting work. All personnel adhered to stop-work authority without hesitation. PPE requirements (gloves, faceshields, long sleeves) provided effective protection.",Always verify vent paths for all small-bore and low-point sections before loosening fittings. Update engineering drawings when equipment routing changes. Include trapped-volume checks in isolation procedures. Reinforce formal valve-position verification rather than relying on verbal assurance. Reduce task time pressure by scheduling sampling-line work during controlled windows. Improve access to vent points through maintenance-friendly layout reviews.
CASE-003,Vapor Release During Transfer Hose Connection at Metering Pad,Safety,Medium,Chemical unloading bay at a mid-scale processing facility,2023,Canada,Medical Treatment,Potentially Significant,Health and Safety,"A two-person operations crew was preparing to unload a tote of a mildly corrosive solvent used in routine cleaning cycles. The task required connecting a flexible transfer hose to a fixed suction line leading to a day tank. The permit-to-work was issued after the crew confirmed the line was “isolated and drained” based on a previous shift’s note. When the operator loosened the blind flange to attach the hose, a small cloud of solvent vapor escaped from the line, accompanied by a short burst of liquid droplets. The operator stepped back but inhaled a small amount before retreating further. The second operator activated stop-work, closed the tote valve, and initiated area ventilation fans. The operator who inhaled the vapor experienced eye irritation and coughing and was taken for medical evaluation. No escalation occurred, and the area was barricaded until the line was confirmed empty and properly vented.","Inhalation of a higher concentration of vapor causing respiratory injury. Liquid splash to unprotected skin or eyes resulting in chemical burns. Vapor cloud migration causing alarms or triggering wider shelter-in-place procedures. Release entering nearby trenches if not contained, complicating cleanup.","Isolation procedure did not include a mandatory vent-verification step for low-point sections of the suction line. Engineering drawings were outdated, showing a straight run where a mid-level elbow created a trap for residual solvent. Pre-task review relied on shift-handover notes rather than performing a physical confirmation.","Time pressure due to several totes scheduled for unloading that morning. Limited lighting in the unloading bay made the vent plug difficult to see. The crew assumed similarity with previous batches where the line drained completely. No dedicated indicator (e.g., sight glass or drain gauge) to confirm empty status. Incomplete hazard identification in the JHA—vapors at ambient temperature were underestimated.","Stop-work authority used immediately. Ventilation fans cleared the vapor cloud quickly. Spill was confined within the graded pad, and no environmental release occurred. Crew followed emergency health evaluation protocols without delay. Clear communication with the control room ensured the area remained isolated until safe.","Always confirm venting and draining of lines before removing blinds or fittings. Ensure engineering drawings accurately reflect as-built piping, especially elbows and low points. Do not rely solely on previous-shift status; perform physical checks. Incorporate vapor-hazard assessment into all chemical-transfer JHAs. Improve lighting in unloading areas to support effective verification. Use mechanical indicators or dedicated drains to confirm empty lines."
CASE-004,Inhalation Exposure During Acid Dilution Setup,Safety,Medium,Quality Control Laboratory – Wet Chemistry Area,2022,Canada,Medical Treatment,Potentially Significant,Health and Safety,"A lab technician was preparing a dilution of a strong inorganic acid for routine titration standards. The task required transferring a small volume of concentrated acid into a dilution flask inside a benchtop fume hood. Prior to starting, the technician opened the sash to arrange glassware but did not fully close it when beginning the transfer. As the acid bottle was tipped, a puff of vapor rose from the bottle threads, drifting toward the technician’ s breathing zone because the hood face velocity was insuf ficient with the sash raised. The technician experienced immediate throat irritation and coughing, prompting them to step back and press the area alarm. A coworker assisted in moving the technician to fresh air while the ventilation system cleared the fumes. Medical evaluation indicated mild chemical irritation but no long-term effects. The hood was tagged out until airflow verification could be completed.","Higher-dose inhalation leading to respiratory burns or hospitalization. Splash exposure to eyes or skin during uncontrolled movement after coughing. Vapor trigger of nearby corrosion alarms, causing wider lab shutdown. Escalation if the bottle had been dropped during the reaction to fumes.",Laboratory ventilation standards did not specify required sash height for acid transfer tasks. Preventive maintenance schedule did not include routine airflow verification for all hoods. Training materials lacked emphasis on vapor generation from bottle threads during pouring.,"Technician focused on glassware placement and forgot to lower the sash. Hood face velocity reduced due to clutter inside the work area restricting airflow. Time pressure to complete the preparation before a scheduled instrument run. No secondary containment tray in place, limiting ability to position bottle deeper inside hood.",Technician recognized symptoms early and stepped back immediately. Area alarm and emergency-response procedures were followed without hesitation. Nearby personnel provided prompt assistance and ensured decontamination was unnecessary. The hood was isolated quickly to prevent additional exposures. SDS information was readily accessible to medical staff.,"Always fully lower fume-hood sash to the operational height before handling concentrated acids. Verify hood airflow weekly or before high-hazard tasks, even if formal inspections are less frequent. Remove clutter from hoods to maintain proper air patterns and visibility. Incorporate vapor-generation risks (e.g., threads, caps, temperature) into lab JHAs. Provide refresher training on chemical-transfer ergonomics and hood use. Use secondary containment and deeper hood positioning for reactive liquids."
CASE-005,Solvent Transfer Splash During Sample Prep,Safety,Medium,Analytical Laboratory – Organic Sample Prep Bench,2021,Canada,First Aid,Potentially Significant,Health and Safety,"A laboratory technician was preparing calibration standards using a volatile, flammable solvent. The task involved transferring solvent from a 1-L amber bottle into several small volumetric flasks using a squeeze dispenser. The technician had placed the bottle near the edge of the bench to make room for glassware but did not secure the dispenser tip firmly into the flask opening. When pressure was applied to the squeeze bottle, a misalignment caused a sudden side-spray, splashing solvent onto the technician’ s glove, lab coat sleeve, and the benchtop. The technician immediately moved back, used the eyewash sink for decontamination, and notified the shift lead. The spill was contained using absorbent pads, and the technician was evaluated by first-aid responders for minor skin irritation. Work in the area was paused until proper cleanup and ventilation checks were completed.","Solvent spray could have contacted the technician’ s eyes or face, causing chemical burns. Splash could have reached electrical equipment, creating a fire-ignition hazard. A larger spill could have saturated clothing, increasing inhalation and dermal exposure. Nearby open sample vials could have become contaminated, compromising quality results.","No standardized setup for solvent-transfer tasks (inconsistent equipment placement, no defined spill-containment boundaries). Inadequate pre-task risk assessment for squeeze-bottle use with volatile solvents. Laboratory layout did not provide sufficient clear workspace for safe dispensing.",Bench clutter reduced maneuverability and created unstable glassware placement. Time pressure to complete batches before instrument run. Technician assumed the dispenser tip was universal for multiple flask sizes. Lack of visual markers indicating required distance from bench edge. Gloves nearing end of use-life reduced splash resistance.,"Technician reacted quickly and used immediate decontamination. Spill was confined to the bench surface and did not reach floor drains. Ventilation and airflow were adequate to minimize inhalation hazards. Shift lead initiated stop-work and coordinated cleanup effectively. Appropriate PPE (gloves, coat, safety glasses) reduced severity.","Establish defined bench layouts and minimum clear-workspace requirements for solvent tasks. Use dedicated spill trays and flask-holding racks during all liquid transfers. Verify compatibility and fit of dispensing equipment before starting work. Conduct quick pre-task hazard checks, even for routine activities. Replace gloves proactively before solvent-intensive tasks. Reinforce training on splash-zone awareness and body positioning."
CASE-006,Solvent Bottle Tipped During Waste Consolidation,Safety,Medium,Laboratory Waste Handling Area,2023,Vancouver,First Aid,Potentially Significant,Health and Safety,"A technician was consolidating small quantities of spent organic solvent into a designated waste carboy at the end of the afternoon shift. Several small bottles had accumulated, and space on the bench was limited. While reaching across the bench to retrieve a partially full bottle, the technician’ s sleeve brushed another container, tipping it over. A splash of solvent struck the technician’ s glove and lower sleeve, and a small amount landed on the bench surface. The technician immediately stepped back, used the eyewash sink to rinse exposed areas, and notified the area lead. Ventilation was increased, and the spill was cleaned using absorbent pads. The technician experienced mild skin irritation but required only first-aid treatment. Work resumed after the area was cleared and the containers were reorganized.","Solvent could have splashed toward the technician’ s face or eyes, causing more serious injury. Liquid could have contacted electrical connections on the bench, creating ignition risk. A larger spill could have saturated clothing and produced hazardous vapors. Cross-contamination of incompatible wastes could have occurred if containers mixed during the fall.",Work area design did not include a dedicated consolidation zone with adequate spacing. Waste-handling procedures did not specify limits on the number of small containers allowed on the bench at once. Training materials lacked clarity on safe reach zones and container placement hierarchy.,Bench clutter reduced available movement space. Technician was multitasking and trying to finish before shift change. Containers of varying sizes were placed too close together without containment trays. Sleeve length and loose clothing increased the likelihood of accidental contact. No visual markers indicating safe container spacing.,Technician recognized exposure quickly and used prompt decontamination. Spill remained contained to the bench and did not reach floor drains. PPE reduced severity of skin exposure. Good communication with the area lead enabled safe response and cleanup. Ventilation adjustments were applied immediately.,"Establish a dedicated, uncluttered waste-consolidation zone. Keep only one container open at any time during solvent transfers. Use spill trays and bottle stands to prevent tipping. Reinforce guidance on body positioning, reach zones, and avoiding overextension. Implement limits on the number of containers allowed on the bench during consolidation. Adopt periodic bench-reset procedures at shift changes."
CASE-007,Coffee Spill Near Power Strip in Shared Workspace,Safety,Medium,Corporate Office – Open Work Area,2024,Vancouver,No Injury,Potentially Significant,Health and Safety,"An employee carried a full cup of hot coffee from the kitchenette to their desk during a busy morning. Several teammates were gathered around a shared table reviewing documents, causing the walkway to narrow. As the employee stepped around a chair, their elbow bumped a stack of folders sitting on the edge of the table. The impact caused the folders to slide and the employee instinctively shifted their cup to prevent the items from falling. This sudden movement caused the coffee to spill onto the carpet and splatter near an extension cord powering multiple laptops. A coworker quickly unplugged the power strip, preventing potential electrical hazards. No one was injured, but work in the immediate area was paused while cleaning staff ensured the floor and cables were safe to use.","Hot coffee could have splashed onto an employee’ s hands or lap, causing burns. Liquid contacting the power strip could have caused electrical shorting or minor arcing. Someone could have slipped on the wet carpet before the area was cordoned off. Valuable documents or electronic equipment could have been damaged.",Workspace layout did not account for temporary congestion during collaborative discussions. No clear housekeeping standards for keeping walkways and table edges free of stacked materials. Absence of guidance discouraging employees from carrying open liquids through crowded areas.,"Employees were multitasking and focused on group discussion rather than walkway clearance. Stacked folders were placed too close to the table edge. The employee was carrying an uncovered, full beverage without stabilization. Morning rush increased foot traffic and distractions.",Quick unplugging of the power strip reduced electrical risk. Spill was cleaned promptly and the area was secured to avoid slips. Employees communicated clearly and stopped work immediately after the incident. Office PPE (closed-toe shoes) prevented potential foot splashes from causing injury.,"Maintain clear walkways, especially during impromptu team huddles. Store documents and materials away from edges where they can be bumped. Encourage use of spill-proof mugs when moving beverages around the office. Review office housekeeping practices for shared tables and collaborative zones. Promote awareness of potential electrical hazards around liquids."
CASE-008,Unexpected Pressure Release During Manual Valve Isolation,Safety,Medium,Utilities Area – Generic Process Unit,2019,Canada,No Injury,Near Miss,Health and Safety,"Operators were preparing a low-pressure line for maintenance by isolating a manual block valve. The task was routine and conducted during day shift. When the technician cracked open the downstream drain to verify zero energy, a short burst of pressurized vapor escaped. The worker immediately stepped back and closed the drain. The team notified control and established a temporary cordon. A subsequent check confirmed that a secondary valve upstream had not fully seated, allowing residual pressure to accumulate. No one was injured, and the area was safely depressurized before maintenance resumed.","Full line opening could have released a continuous stream of hot vapor. Worker could have suffered thermal irritation to eyes or airways. The release might have triggered a unit alarm, causing an unplanned shutdown. Nearby contractors could have been exposed if they were within the egress path.","Incomplete isolation planning: the job plan did not require verification of upstream valve seating before draining. Inadequate equipment design: upstream valve showed early signs of internal wear, reducing sealing reliability. Procedural gap: isolation steps did not include a cross-check between operations and maintenance leads.",Time pressure to hand over equipment by end of shift. Limited visibility around valve handles due to congested pipe racks. Communication lapse during toolbox talk—team assumed normal isolation without revisiting recent valve performance concerns. Technician relied on past experience rather than the full isolation checklist. Nearby noise made verbal confirmation difficult.,"Worker reacted quickly and stepped back, preventing exposure. PPE (face shield and gloves) provided adequate protection from the brief vapor burst. Control room was promptly informed, enabling coordinated response. Area was isolated quickly, preventing bystander exposure.",Always verify isolation integrity using both primary and secondary indicators. Reassess valve health during planning; aging valves need additional checks. Ensure toolbox talks include recent equipment behavior or deviations. Use standardized hand signals or radios when ambient noise impairs communication. Reinforce discipline around using full isolation checklists. Design congested areas with improved access for isolation tasks.
CASE-009,Minor Solvent Spill During Hose Transfer Setup,Safety,Medium,General Processing Area – Liquid Handling,2021,Trinidad,No Injury,Near Miss,Health and Safety,"A two-person operations team prepared a routine solvent transfer from a bulk tote to a day tank. Before starting the pump, they connected a flexible hose equipped with a cam-lock fitting. The operator noticed slight resistance while engaging the lock but assumed it was properly seated. Moments after initiating a low-flow priming step, a narrow stream of solvent appeared at the coupling. The team immediately stopped the pump and closed the isolation valve. The spill was contained within a small drip tray already positioned under the connection point. After clean-up, closer inspection revealed that the gasket inside the cam-lock had folded inward, preventing a proper seal.",Larger release if the pump had been ramped to full transfer rate. Potential slip hazard if solvent migrated outside the containment tray. Possible inhalation exposure from vapors in a confined loading area. Equipment damage if solvent contacted nearby instruments or wiring.,Inadequate pre-use inspection of hose gaskets and coupling hardware. Lack of a standardized verification step for confirming full cam-lock engagement. Procedures did not require replacement of aging gaskets on a fixed schedule.,Time pressure to complete the transfer before a scheduled truck arrival. Congested work area that limited operator line-of-sight on the coupling. Assumption that resistance during locking was due to normal wear. No peer check performed before starting the pump. Reduced lighting in the bay contributed to the missed gasket deformation.,"Operator noticed the leak quickly and stopped the transfer immediately. The drip tray was positioned correctly and prevented spread of the solvent. Communication between the two workers was clear and prompt. PPE (gloves, goggles, long sleeves) prevented any contact or irritation. Spill response supplies were on hand, enabling rapid clean-up.",Incorporate a tactile and visual verification of all hose fittings before energizing pumps. Replace gaskets regularly based on condition or service hours. Improve lighting in transfer bays to enhance visibility of connection points. Encourage peer-checks for any hose transfers involving hazardous liquids. Use color-coded gaskets to make deformation easier to identify. Include coupling integrity as a mandatory point in pre-task briefings.
CASE-010,Contractor Scaffold Deck Shift During Equipment Removal,Safety,Medium,General Processing Area – Mechanical Maintenance,2022,Vancouver,No Injury,Near Miss,Health and Safety,"A contractor crew was assigned to remove a small heat-exchanger cover for internal inspection. The job required accessing a temporary scaffold platform built earlier that week. During the lift of the cover using a chain hoist, one of the contractors stepped onto a deck plank near the edge to guide the load. The plank shifted approximately 10 cm because one locking pin had not fully engaged. The worker immediately stepped back and signaled to stop the lift. The platform remained stable, and no one fell or was struck. The scaffold tag indicated that the structure had been inspected, but the issue with the pin was not detected during the shift handover.","A contractor could have fallen from the elevated platform. The suspended load could have swung and struck a worker. A deck collapse could have caused multiple injuries. The load could have dropped, damaging equipment below.",Inadequate verification of scaffold integrity after adjustments made earlier that morning. Insuf ficient coordination between contractor supervision and site operations regarding scaffold modifications. Lack of a standardized re-inspection requirement after scaffold components are repositioned.,Time pressure to complete equipment removal before an upcoming outage task. Worker assumed all locking pins were secure because the scaffold tag was green. Shift handover between contractor crews did not highlight that minor adjustments were made. Noise in the area made communication between the spotter and the hoist operator more difficult. Limited visibility of pin engagement due to shadows under the decking.,"Contractor immediately initiated a stop-work when the deck shifted. Hoist operator reacted promptly and stabilized the suspended load. All workers were wearing proper fall protection equipment appropriate for the platform height. Area was already barricaded, preventing unauthorized entry during the task. Good communication with site operations ensured the scaffold was isolated before investigation.","Always require a documented re-inspection after any scaffold modification, even minor adjustments. Reinforce that a green scaffold tag does not replace visual and tactile checks of key components. Improve coordination between contractor crews during shift handover to highlight scaffold status. Ensure adequate lighting around elevated work areas to verify secure engagement of locking pins. Establish clear hand signals or radio protocols when environmental noise affects communication."
